timestamp,event_type,match_key,risk_mode,moment,direction,silent_reason,runs,wickets,overs,current_run_rate,required_run_rate,win_edge,confidence,confidence_floor,direction_score
2026-02-12T22:38:51.424474,decision_shown,2026-02-13-0,balanced,hold_window,Hold,,0,0,0.0,0.0,,0.0,0.752,0.0,0.41
2026-02-12T22:43:09.586082,decision_silent,2026-02-13-0,balanced,hold_window,Hold,Noise suppression: cooldown or confidence delta below threshold.,0,0,0.0,0.0,,0.0,0.752,0.0,0.41
